instance_id,feature_id,feature_name,receiver_name,member_name,usage_offset,usage_mode,usage_count,script_id,script_url,origin_url
1243,2,Window.atob,Window,atob,56039,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,19,Window.setTimeout,Window,setTimeout,82648,c,2,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,19,Window.setTimeout,Window,setTimeout,90056,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,19,Window.setTimeout,Window,setTimeout,118902,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,85908,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,85908,g,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,86044,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,66,HTMLDocument.addEventListener,HTMLDocument,addEventListener,86044,g,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,105,Navigator.sendBeacon,Navigator,sendBeacon,85620,g,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,111,Window.requestAnimationFrame,Window,requestAnimationFrame,118968,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,111,Window.requestAnimationFrame,Window,requestAnimationFrame,119001,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,115,Navigator.userAgent,Navigator,userAgent,14476,g,45,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,122,Window.addEventListener,Window,addEventListener,44011,g,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,122,Window.addEventListener,Window,addEventListener,44158,c,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
1243,122,Window.addEventListener,Window,addEventListener,44158,g,1,1185,https://accounts.google.com/gsi/button?theme=outline&size=large&shape=circle&logo_alignment=center&text=signup_with&width=300&is_fedcm_supported=true&client_id=49625052041-kgt0hghf445lmcmhijv46b715m2mpbct.apps.googleusercontent.com&iframe_id=gsi_96975_511388&cas=QfYBZCii2EnH6ZV3IGW9KxVJATEk3CK2qGuzoRiFbA4&hl=en,?
